Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
90	G40	G1	13	21	0.0034	0	0.5
91	G41	G1	13	21	0.0076	0	0.5
92	G42	G1	13	21	0.0036	0	0.5
93	G43	G1	13	21	0.0021	0	0.5
94	G44	G1	13	21	0.0016	0	0.5
95	G45	G1	13	21	0.0014	0	0.5
96	G46	G1	13	21	0.0036	0	0.5
97	G47	G1	13	21	0.003	0	0.5
98	G48	G1	13	21	0.0043	0	0.5
99	G49	G1	13	21	0.007	0	0.5
100	G50	G1	13	21	0.0025	0	0.5
101	G1	G2	2	7	5e-04	0	0.5
102	G2	G2	2	7	1	0.67978	0.5
103	G3	G2	2	7	0	0	0.5
104	G4	G2	2	7	0.0025	0	0.5
105	G5	G2	2	7	0.0013	0	0.5
106	G6	G2	2	7	0	0	0.5
107	G7	G2	2	7	0.003	0	0.5
108	G8	G2	2	7	0.0021	0	0.5
109	G9	G2	2	7	9e-04	0	0.5
110	G10	G2	2	7	0	0	0.5
111	G11	G2	2	7	3e-04	0	0.5
112	G12	G2	2	7	0	0	0.5
113	G13	G2	2	7	0	0	0.5
114	G14	G2	2	7	0.0013	0	0.5
115	G15	G2	2	7	0.0039	0	0.5
116	G16	G2	2	7	6e-04	0	0.5
117	G17	G2	2	7	4e-04	0	0.5
118	G18	G2	2	7	0	0	0.5
119	G19	G2	2	7	0.0026	0	0.5
120	G20	G2	2	7	2e-04	0	0.5
121	G21	G2	2	7	3e-04	0	0.5
122	G22	G2	2	7	0.0049	0	0.5
123	G23	G2	2	7	0.0046	0	0.5
124	G24	G2	2	7	0.0026	0	0.5
125	G25	G2	2	7	0	0	0.5
126	G26	G2	2	7	0.0013	0	0.5
127	G27	G2	2	7	0.0035	0	0.5
128	G28	G2	2	7	0.0014	0	0.5
129	G29	G2	2	7	0.0018	0	0.5
130	G30	G2	2	7	0.0019	0	0.5
131	G31	G2	2	7	4e-04	0	0.5
132	G32	G2	2	7	0	0	0.5
133	G33	G2	2	7	0	0	0.5
134	G34	G2	2	7	8e-04	0	0.5
135	G35	G2	2	7	0.0027	0	0.5
136	G36	G2	2	7	0.0061	0	0.5
137	G37	G2	2	7	0.0013	0	0.5
138	G38	G2	2	7	1e-04	0	0.5
139	G39	G2	2	7	8e-04	0	0.5
140	G40	G2	2	7	0.001	0	0.5
141	G41	G2	2	7	0.0014	0	0.5
142	G42	G2	2	7	0	0	0.5
143	G43	G2	2	7	0	0	0.5
144	G44	G2	2	7	3e-04	0	0.5
145	G45	G2	2	7	0	0	0.5
146	G46	G2	2	7	0	0	0.5
147	G47	G2	2	7	6e-04	0	0.5
148	G48	G2	2	7	0	0	0.5
149	G49	G2	2	7	0	0	0.5
150	G50	G2	2	7	0	0	0.5
151	G1	G2	8	21	5e-04	0	0.5
152	G2	G2	8	21	0	0	0.5
153	G3	G2	8	21	0.0015	0	0.5
154	G4	G2	8	21	3e-04	0	0.5
155	G5	G2	8	21	0	0	0.5
156	G6	G2	8	21	9e-04	0	0.5
157	G7	G2	8	21	0	0	0.5
158	G8	G2	8	21	0	0	0.5
159	G9	G2	8	21	0	0	0.5
160	G10	G2	8	21	0	0	0.5
161	G11	G2	8	21	0	0	0.5
162	G12	G2	8	21	0	0	0.5
163	G13	G2	8	21	0	0	0.5
164	G14	G2	8	21	0	0	0.5
165	G15	G2	8	21	0	0	0.5
166	G16	G2	8	21	5e-04	0	0.5
167	G17	G2	8	21	8e-04	0	0.5
168	G18	G2	8	21	0	0	0.5
169	G19	G2	8	21	3e-04	0	0.5
170	G20	G2	8	21	0	0	0.5
171	G21	G2	8	21	0	0	0.5
172	G22	G2	8	21	4e-04	0	0.5
173	G23	G2	8	21	1e-04	0	0.5
174	G24	G2	8	21	9e-04	0	0.5
175	G25	G2	8	21	0	0	0.5
176	G26	G2	8	21	0	0	0.5
177	G27	G2	8	21	0.0012	0	0.5
178	G28	G2	8	21	0	0	0.5
179	G29	G2	8	21	0	0	0.5
180	G30	G2	8	21	0	0	0.5
181	G31	G2	8	21	4e-04	0	0.5
182	G32	G2	8	21	0	0	0.5
183	G33	G2	8	21	0	0	0.5
184	G34	G2	8	21	0	0	0.5
185	G35	G2	8	21	7e-04	0	0.5
186	G36	G2	8	21	2e-04	0	0.5
187	G37	G2	8	21	0	0	0.5
188	G38	G2	8	21	0	0	0.5
189	G39	G2	8	21	0	0	0.5
190	G40	G2	8	21	0	0	0.5
191	G41	G2	8	21	0	0	0.5
192	G42	G2	8	21	0	0	0.5
193	G43	G2	8	21	0.0013	0	0.5
194	G44	G2	8	21	0.0028	0	0.5
195	G45	G2	8	21	0	0	0.5
196	G46	G2	8	21	0	0	0.5
197	G47	G2	8	21	2e-04	0	0.5
198	G48	G2	8	21	0	0	0.5
199	G49	G2	8	21	1e-04	0	0.5
200	G50	G2	8	21	0.0018	0	0.5
201	G1	G3	2	10	0.002	0	0.5
202	G2	G3	2	10	4e-04	0	0.5
203	G3	G3	2	10	1	0.72894	0.5
204	G4	G3	2	10	5e-04	0	0.5
205	G5	G3	2	10	0	0	0.5
206	G6	G3	2	10	0.0012	0	0.5
207	G7	G3	2	10	0	0	0.5
208	G8	G3	2	10	0.0011	0	0.5
209	G9	G3	2	10	0	0	0.5
210	G10	G3	2	10	0	0	0.5
211	G11	G3	2	10	0	0	0.5
212	G12	G3	2	10	0	0	0.5
213	G13	G3	2	10	1e-04	0	0.5
214	G14	G3	2	10	0	0	0.5
215	G15	G3	2	10	0	0	0.5
216	G16	G3	2	10	6e-04	0	0.5
217	G17	G3	2	10	0	0	0.5
218	G18	G3	2	10	0	0	0.5
219	G19	G3	2	10	8e-04	0	0.5
220	G20	G3	2	10	0.0012	0	0.5
221	G21	G3	2	10	0	0	0.5
222	G22	G3	2	10	0	0	0.5
223	G23	G3	2	10	0.001	0	0.5
224	G24	G3	2	10	6e-04	0	0.5
225	G25	G3	2	10	0	0	0.5
226	G26	G3	2	10	0	0	0.5
227	G27	G3	2	10	0	0	0.5
228	G28	G3	2	10	0.0014	0	0.5
229	G29	G3	2	10	0	0	0.5
230	G30	G3	2	10	0.0016	0	0.5
231	G31	G3	2	10	0	0	0.5
232	G32	G3	2	10	3e-04	0	0.5
233	G33	G3	2	10	1e-04	0	0.5
234	G34	G3	2	10	4e-04	0	0.5
235	G35	G3	2	10	3e-04	0	0.5
236	G36	G3	2	10	1e-04	0	0.5
237	G37	G3	2	10	1e-04	0	0.5
238	G38	G3	2	10	0.002	0	0.5
239	G39	G3	2	10	0	0	0.5
240	G40	G3	2	10	0.0018	0	0.5
241	G41	G3	2	10	0	0	0.5
242	G42	G3	2	10	0	0	0.5
243	G43	G3	2	10	0	0	0.5
244	G44	G3	2	10	7e-04	0	0.5
245	G45	G3	2	10	0.0015	0	0.5
246	G46	G3	2	10	5e-04	0	0.5
247	G47	G3	2	10	0	0	0.5
248	G48	G3	2	10	0	0	0.5
249	G49	G3	2	10	0	0	0.5
250	G50	G3	2	10	0.001	0	0.5
251	G1	G3	11	21	0	0	0.5
252	G2	G3	11	21	0	0	0.5
253	G3	G3	11	21	0	0	0.5
254	G4	G3	11	21	0	0	0.5
255	G5	G3	11	21	1e-04	0	0.5
256	G6	G3	11	21	0	0	0.5
257	G7	G3	11	21	1e-04	0	0.5
258	G8	G3	11	21	2e-04	0	0.5
259	G9	G3	11	21	0	0	0.5
260	G10	G3	11	21	0	0	0.5
261	G11	G3	11	21	2e-04	0	0.5
262	G12	G3	11	21	0	0	0.5
263	G13	G3	11	21	0	0	0.5
264	G14	G3	11	21	2e-04	0	0.5
265	G15	G3	11	21	0	0	0.5
266	G16	G3	11	21	0	0	0.5
267	G17	G3	11	21	0	0	0.5
268	G18	G3	11	21	0.001	0	0.5
269	G19	G3	11	21	0	0	0.5
270	G20	G3	11	21	7e-04	0	0.5
271	G21	G3	11	21	0	0	0.5
272	G22	G3	11	21	0	0	0.5
273	G23	G3	11	21	0	0	0.5
274	G24	G3	11	21	2e-04	0	0.5
275	G25	G3	11	21	0	0	0.5
276	G26	G3	11	21	0	0	0.5
277	G27	G3	11	21	1e-04	0	0.5
278	G28	G3	11	21	0	0	0.5
279	G29	G3	11	21	0	0	0.5
280	G30	G3	11	21	0	0	0.5
281	G31	G3	11	21	0	0	0.5
282	G32	G3	11	21	1e-04	0	0.5
283	G33	G3	11	21	0	0	0.5
284	G34	G3	11	21	0	0	0.5
285	G35	G3	11	21	8e-04	0	0.5
286	G36	G3	11	21	9e-04	0	0.5
287	G37	G3	11	21	6e-04	0	0.5
288	G38	G3	11	21	0	0	0.5
289	G39	G3	11	21	6e-04	0	0.5
290	G40	G3	11	21	0	0	0.5
291	G41	G3	11	21	0	0	0.5
292	G42	G3	11	21	0	0	0.5
293	G43	G3	11	21	1e-04	0	0.5
294	G44	G3	11	21	0	0	0.5
295	G45	G3	11	21	0	0	0.5
296	G46	G3	11	21	8e-04	0	0.5
297	G47	G3	11	21	0	0	0.5
298	G48	G3	11	21	1e-04	0	0.5
299	G49	G3	11	21	0	0	0.5
300	G50	G3	11	21	0	0	0.5
301	G1	G4	2	5	0.0039	0	0.5
302	G2	G4	2	5	7e-04	0	0.5
303	G3	G4	2	5	0.001	0	0.5
304	G4	G4	2	5	1	0.70786	0.5
305	G5	G4	2	5	0.0013	0	0.5
306	G6	G4	2	5	0.0155	0	0.5
307	G7	G4	2	5	0.0019	0	0.5
308	G8	G4	2	5	0	0	0.5
309	G9	G4	2	5	0.102	0	0.5
310	G10	G4	2	5	0.0091	0	0.5
311	G11	G4	2	5	0.0022	0	0.5
312	G12	G4	2	5	0.0011	0	0.5
313	G13	G4	2	5	0.0024	0	0.5
314	G14	G4	2	5	0.0037	0	0.5
315	G15	G4	2	5	2e-04	0	0.5
316	G16	G4	2	5	7e-04	0	0.5
317	G17	G4	2	5	0.0044	0	0.5
318	G18	G4	2	5	0.0032	0	0.5
319	G19	G4	2	5	1e-04	0	0.5
320	G20	G4	2	5	0.0021	0	0.5
321	G21	G4	2	5	0.0016	0	0.5
322	G22	G4	2	5	0.0028	0	0.5
323	G23	G4	2	5	0.0011	0	0.5
324	G24	G4	2	5	0.0015	0	0.5
325	G25	G4	2	5	0.0023	0	0.5
326	G26	G4	2	5	7e-04	0	0.5
327	G27	G4	2	5	0	0	0.5
328	G28	G4	2	5	0.0027	0	0.5
329	G29	G4	2	5	0.004	0	0.5
330	G30	G4	2	5	7e-04	0	0.5
331	G31	G4	2	5	0.0016	0	0.5
332	G32	G4	2	5	0.0012	0	0.5
333	G33	G4	2	5	0.0014	0	0.5
334	G34	G4	2	5	7e-04	0	0.5
335	G35	G4	2	5	0.0037	0	0.5
336	G36	G4	2	5	0.0014	0	0.5
337	G37	G4	2	5	0.0055	0	0.5
338	G38	G4	2	5	0.0024	0	0.5
339	G39	G4	2	5	1e-04	0	0.5
340	G40	G4	2	5	0.0011	0	0.5
341	G41	G4	2	5	0.0011	0	0.5
342	G42	G4	2	5	0.003	0	0.5
343	G43	G4	2	5	5e-04	0	0.5
344	G44	G4	2	5	0	0	0.5
345	G45	G4	2	5	0.0039	0	0.5
346	G46	G4	2	5	0.0036	0	0.5
347	G47	G4	2	5	2e-04	0	0.5
348	G48	G4	2	5	7e-04	0	0.5
349	G49	G4	2	5	0.0036	0	0.5
350	G50	G4	2	5	0.0017	0	0.5
351	G1	G4	6	21	0.0021	0	0.5
352	G2	G4	6	21	0	0	0.5
353	G3	G4	6	21	4e-04	0	0.5
354	G4	G4	6	21	0.0154	0	0.5
355	G5	G4	6	21	0.001	0	0.5
356	G6	G4	6	21	0.0098	0	0.5
357	G7	G4	6	21	1	-0.24941	0.5
358	G8	G4	6	21	3e-04	0	0.5
359	G9	G4	6	21	0.0646	0	0.5
360	G10	G4	6	21	4e-04	0	0.5
361	G11	G4	6	21	2e-04	0	0.5
362	G12	G4	6	21	0.0027	0	0.5
363	G13	G4	6	21	0	0	0.5
364	G14	G4	6	21	7e-04	0	0.5
365	G15	G4	6	21	0.0019	0	0.5
366	G16	G4	6	21	9e-04	0	0.5
367	G17	G4	6	21	0.011	0	0.5
368	G18	G4	6	21	0	0	0.5
369	G19	G4	6	21	0.0035	0	0.5
370	G20	G4	6	21	8e-04	0	0.5
371	G21	G4	6	21	8e-04	0	0.5
372	G22	G4	6	21	0.0011	0	0.5
373	G23	G4	6	21	0.0189	0	0.5
374	G24	G4	6	21	6e-04	0	0.5
375	G25	G4	6	21	3e-04	0	0.5
376	G26	G4	6	21	7e-04	0	0.5
377	G27	G4	6	21	0	0	0.5
378	G28	G4	6	21	2e-04	0	0.5
379	G29	G4	6	21	1e-04	0	0.5
380	G30	G4	6	21	0.0026	0	0.5
381	G31	G4	6	21	0.002	0	0.5
382	G32	G4	6	21	0.0068	0	0.5
383	G33	G4	6	21	4e-04	0	0.5
384	G34	G4	6	21	5e-04	0	0.5
385	G35	G4	6	21	4e-04	0	0.5
386	G36	G4	6	21	7e-04	0	0.5
387	G37	G4	6	21	0.0019	0	0.5
388	G38	G4	6	21	0.0059	0	0.5
389	G39	G4	6	21	2e-04	0	0.5
390	G40	G4	6	21	0	0	0.5
391	G41	G4	6	21	3e-04	0	0.5
392	G42	G4	6	21	0.0018	0	0.5
393	G43	G4	6	21	0	0	0.5
394	G44	G4	6	21	0.0035	0	0.5
395	G45	G4	6	21	5e-04	0	0.5
396	G46	G4	6	21	0.0011	0	0.5
397	G47	G4	6	21	0.0019	0	0.5
398	G48	G4	6	21	0	0	0.5
399	G49	G4	6	21	0.0013	0	0.5
400	G50	G4	6	21	0	0	0.5
401	G1	G5	2	21	0.0016	0	0.5
402	G2	G5	2	21	1e-04	0	0.5
403	G3	G5	2	21	0.0011	0	0.5
404	G4	G5	2	21	5e-04	0	0.5
405	G5	G5	2	21	1	0.5371	0.5
406	G6	G5	2	21	5e-04	0	0.5
407	G7	G5	2	21	0.0022	0	0.5
408	G8	G5	2	21	0.0012	0	0.5
409	G9	G5	2	21	4e-04	0	0.5
410	G10	G5	2	21	8e-04	0	0.5
411	G11	G5	2	21	9e-04	0	0.5
412	G12	G5	2	21	4e-04	0	0.5
413	G13	G5	2	21	5e-04	0	0.5
414	G14	G5	2	21	4e-04	0	0.5
415	G15	G5	2	21	3e-04	0	0.5
416	G16	G5	2	21	7e-04	0	0.5
417	G17	G5	2	21	5e-04	0	0.5
418	G18	G5	2	21	1e-04	0	0.5
419	G19	G5	2	21	2e-04	0	0.5
420	G20	G5	2	21	0.0013	0	0.5
421	G21	G5	2	21	0.0012	0	0.5
422	G22	G5	2	21	4e-04	0	0.5
423	G23	G5	2	21	8e-04	0	0.5
424	G24	G5	2	21	0.0116	0	0.5
425	G25	G5	2	21	0	0	0.5
426	G26	G5	2	21	9e-04	0	0.5
427	G27	G5	2	21	0	0	0.5
428	G28	G5	2	21	5e-04	0	0.5
429	G29	G5	2	21	0.0016	0	0.5
430	G30	G5	2	21	5e-04	0	0.5
431	G31	G5	2	21	0.0015	0	0.5
432	G32	G5	2	21	0	0	0.5
433	G33	G5	2	21	7e-04	0	0.5
434	G34	G5	2	21	9e-04	0	0.5
435	G35	G5	2	21	0	0	0.5
436	G36	G5	2	21	0	0	0.5
437	G37	G5	2	21	0.0011	0	0.5
438	G38	G5	2	21	0.0011	0	0.5
439	G39	G5	2	21	4e-04	0	0.5
440	G40	G5	2	21	1e-04	0	0.5
441	G41	G5	2	21	9e-04	0	0.5
442	G42	G5	2	21	1e-04	0	0.5
443	G43	G5	2	21	2e-04	0	0.5
444	G44	G5	2	21	3e-04	0	0.5
445	G45	G5	2	21	0.001	0	0.5
446	G46	G5	2	21	0.0012	0	0.5
447	G47	G5	2	21	0.0014	0	0.5
448	G48	G5	2	21	6e-04	0	0.5
449	G49	G5	2	21	1e-04	0	0.5
450	G50	G5	2	21	2e-04	0	0.5
451	G1	G6	2	21	7e-04	0	0.5
452	G2	G6	2	21	1	-0.18153	0.5
453	G3	G6	2	21	3e-04	0	0.5
454	G4	G6	2	21	0.0025	0	0.5
455	G5	G6	2	21	0.0021	0	0.5
456	G6	G6	2	21	1	0.58851	0.5
457	G7	G6	2	21	5e-04	0	0.5
458	G8	G6	2	21	5e-04	0	0.5
459	G9	G6	2	21	0.0486	0	0.5
460	G10	G6	2	21	0.0024	0	0.5
461	G11	G6	2	21	0.0035	0	0.5
462	G12	G6	2	21	0.0014	0	0.5
463	G13	G6	2	21	6e-04	0	0.5
464	G14	G6	2	21	0.0019	0	0.5
465	G15	G6	2	21	0.0049	0	0.5
466	G16	G6	2	21	9e-04	0	0.5
467	G17	G6	2	21	0.0034	0	0.5
468	G18	G6	2	21	0.0285	0	0.5
469	G19	G6	2	21	4e-04	0	0.5
470	G20	G6	2	21	2e-04	0	0.5
471	G21	G6	2	21	7e-04	0	0.5
472	G22	G6	2	21	0.0031	0	0.5
473	G23	G6	2	21	2e-04	0	0.5
474	G24	G6	2	21	0.001	0	0.5
475	G25	G6	2	21	0.0057	0	0.5
476	G26	G6	2	21	0.0426	0	0.5
477	G27	G6	2	21	0.0017	0	0.5
478	G28	G6	2	21	4e-04	0	0.5
479	G29	G6	2	21	6e-04	0	0.5
480	G30	G6	2	21	0.0024	0	0.5
481	G31	G6	2	21	0.0028	0	0.5
482	G32	G6	2	21	1e-04	0	0.5
483	G33	G6	2	21	0.0012	0	0.5
484	G34	G6	2	21	0	0	0.5
485	G35	G6	2	21	0.012	0	0.5
486	G36	G6	2	21	0.0017	0	0.5
487	G37	G6	2	21	0.0013	0	0.5
488	G38	G6	2	21	7e-04	0	0.5
489	G39	G6	2	21	0.0015	0	0.5
490	G40	G6	2	21	0.0011	0	0.5
491	G41	G6	2	21	0.0013	0	0.5
492	G42	G6	2	21	0.0019	0	0.5
493	G43	G6	2	21	0.0015	0	0.5
494	G44	G6	2	21	0.0068	0	0.5
495	G45	G6	2	21	0.0013	0	0.5
496	G46	G6	2	21	0.0034	0	0.5
497	G47	G6	2	21	0.0043	0	0.5
498	G48	G6	2	21	0.0019	0	0.5
499	G49	G6	2	21	0.0016	0	0.5
500	G50	G6	2	21	0.0032	0	0.5
501	G1	G7	2	21	4e-04	0	0.5
502	G2	G7	2	21	9e-04	0	0.5
503	G3	G7	2	21	7e-04	0	0.5
504	G4	G7	2	21	1	-0.28556	0.5
505	G5	G7	2	21	0.0012	0	0.5
506	G6	G7	2	21	2e-04	0	0.5
507	G7	G7	2	21	1	0.63351	0.5
508	G8	G7	2	21	2e-04	0	0.5
509	G9	G7	2	21	0.0141	0	0.5
510	G10	G7	2	21	0.0154	0	0.5
511	G11	G7	2	21	0.0023	0	0.5
512	G12	G7	2	21	0.0165	0	0.5
513	G13	G7	2	21	0	0	0.5
514	G14	G7	2	21	0.0056	0	0.5
515	G15	G7	2	21	0.0324	0	0.5
516	G16	G7	2	21	0.0014	0	0.5
517	G17	G7	2	21	0.0208	0	0.5
518	G18	G7	2	21	8e-04	0	0.5
519	G19	G7	2	21	0.002	0	0.5
520	G20	G7	2	21	2e-04	0	0.5
521	G21	G7	2	21	2e-04	0	0.5
522	G22	G7	2	21	7e-04	0	0.5
523	G23	G7	2	21	0.0013	0	0.5
524	G24	G7	2	21	0.0011	0	0.5
525	G25	G7	2	21	7e-04	0	0.5
526	G26	G7	2	21	4e-04	0	0.5
527	G27	G7	2	21	3e-04	0	0.5
528	G28	G7	2	21	7e-04	0	0.5
529	G29	G7	2	21	0	0	0.5
530	G30	G7	2	21	3e-04	0	0.5
531	G31	G7	2	21	7e-04	0	0.5
532	G32	G7	2	21	0	0	0.5
533	G33	G7	2	21	0.002	0	0.5
534	G34	G7	2	21	0.0011	0	0.5
535	G35	G7	2	21	5e-04	0	0.5
536	G36	G7	2	21	1e-04	0	0.5
537	G37	G7	2	21	6e-04	0	0.5
538	G38	G7	2	21	9e-04	0	0.5
539	G39	G7	2	21	1e-04	0	0.5
540	G40	G7	2	21	3e-04	0	0.5
541	G41	G7	2	21	0	0	0.5
542	G42	G7	2	21	0.0019	0	0.5
543	G43	G7	2	21	0	0	0.5
544	G44	G7	2	21	4e-04	0	0.5
545	G45	G7	2	21	8e-04	0	0.5
546	G46	G7	2	21	7e-04	0	0.5
547	G47	G7	2	21	0.0017	0	0.5
548	G48	G7	2	21	0.0029	0	0.5
549	G49	G7	2	21	0	0	0.5
550	G50	G7	2	21	0	0	0.5
551	G1	G8	2	21	0.181	0	0.5
552	G2	G8	2	21	2e-04	0	0.5
553	G3	G8	2	21	0	0	0.5
554	G4	G8	2	21	0.0011	0	0.5
555	G5	G8	2	21	8e-04	0	0.5
556	G6	G8	2	21	4e-04	0	0.5
557	G7	G8	2	21	0.0014	0	0.5
558	G8	G8	2	21	1	0.55857	0.5
559	G9	G8	2	21	2e-04	0	0.5
560	G10	G8	2	21	0.0014	0	0.5
561	G11	G8	2	21	0.0017	0	0.5
562	G12	G8	2	21	6e-04	0	0.5
563	G13	G8	2	21	0.0013	0	0.5
564	G14	G8	2	21	0.0015	0	0.5
565	G15	G8	2	21	0.0031	0	0.5
566	G16	G8	2	21	8e-04	0	0.5
567	G17	G8	2	21	5e-04	0	0.5
568	G18	G8	2	21	8e-04	0	0.5
569	G19	G8	2	21	4e-04	0	0.5
570	G20	G8	2	21	0	0	0.5
571	G21	G8	2	21	8e-04	0	0.5
572	G22	G8	2	21	3e-04	0	0.5
573	G23	G8	2	21	5e-04	0	0.5
574	G24	G8	2	21	2e-04	0	0.5
575	G25	G8	2	21	1e-04	0	0.5
576	G26	G8	2	21	6e-04	0	0.5
577	G27	G8	2	21	1e-04	0	0.5
578	G28	G8	2	21	8e-04	0	0.5
579	G29	G8	2	21	5e-04	0	0.5
580	G30	G8	2	21	0	0	0.5
581	G31	G8	2	21	0.0014	0	0.5
582	G32	G8	2	21	0.0013	0	0.5
583	G33	G8	2	21	0.0011	0	0.5
584	G34	G8	2	21	0	0	0.5
585	G35	G8	2	21	5e-04	0	0.5
586	G36	G8	2	21	5e-04	0	0.5
587	G37	G8	2	21	6e-04	0	0.5
588	G38	G8	2	21	0.0018	0	0.5
589	G39	G8	2	21	0.0025	0	0.5
590	G40	G8	2	21	7e-04	0	0.5
591	G41	G8	2	21	2e-04	0	0.5
592	G42	G8	2	21	0.0023	0	0.5
593	G43	G8	2	21	4e-04	0	0.5
594	G44	G8	2	21	0.0017	0	0.5
595	G45	G8	2	21	2e-04	0	0.5
596	G46	G8	2	21	0.0027	0	0.5
597	G47	G8	2	21	0.0018	0	0.5
598	G48	G8	2	21	5e-04	0	0.5
599	G49	G8	2	21	5e-04	0	0.5
600	G50	G8	2	21	4e-04	0	0.5
601	G1	G9	2	6	0	0	0.5
602	G2	G9	2	6	6e-04	0	0.5
603	G3	G9	2	6	6e-04	0	0.5
604	G4	G9	2	6	0.0044	0	0.5
605	G5	G9	2	6	0.0032	0	0.5
606	G6	G9	2	6	0.0012	0	0.5
607	G7	G9	2	6	3e-04	0	0.5
608	G8	G9	2	6	1e-04	0	0.5
609	G9	G9	2	6	1	0.64225	0.5
610	G10	G9	2	6	0.002	0	0.5
611	G11	G9	2	6	4e-04	0	0.5
612	G12	G9	2	6	0	0	0.5
613	G13	G9	2	6	0.0031	0	0.5
614	G14	G9	2	6	0.0014	0	0.5
615	G15	G9	2	6	4e-04	0	0.5
616	G16	G9	2	6	0.0036	0	0.5
617	G17	G9	2	6	0.0015	0	0.5
618	G18	G9	2	6	0.0024	0	0.5
619	G19	G9	2	6	0	0	0.5
620	G20	G9	2	6	0.0013	0	0.5
621	G21	G9	2	6	8e-04	0	0.5
622	G22	G9	2	6	0.0025	0	0.5
623	G23	G9	2	6	0.0023	0	0.5
624	G24	G9	2	6	0.002	0	0.5
625	G25	G9	2	6	0	0	0.5
